symbol,market,name,em_code,em_id
YHNAR,US,YHN Acquisition I Ltd Rt,105.YHNAR,105
FVNNR,US,Future Vision II Acquisition Co,105.FVNNR,105
AACT_WS,US,Ares Acquisition Corp II Wt,106.AACT_WS,106
JUNE,US,Junee Ltd,105.JUNE,105
ELEV,US,Elevation Oncology Inc,105.ELEV,105
AMPG,US,AmpliTech Group Inc,105.AMPG,105
HOUS,US,Anywhere Real Estate Inc,106.HOUS,106
RIOX,US,Defiance Daily Target 2X Long R,107.RIOX,107
UHGWW,US,United Homes Group Inc Wt,105.UHGWW,105
LABD,US,三倍做空生物技术ETF-Direxion,107.LABD,107
AHT_H,US,Ashford Hospitality Trust Inc S,106.AHT_H,106
DRTS,US,Alpha Tau Medical Ltd,105.DRTS,105
MLEC,US,Moolec Science SA,105.MLEC,105
HOUR,US,Hour Loop Inc,105.HOUR,105
YAAS,US,有信云,105.YAAS,105
HSCSW,US,HeartSciences Inc Wt,105.HSCSW,105
ISPOW,US,Inspirato Inc Wt,105.ISPOW,105
PROC,US,Procaps Group SA,105.PROC,105
RILYT,US,B. Riley Financial Inc Notes,105.RILYT,105
SACH,US,Sachem Capital Corp,107.SACH,107
BFLY_WS,US,Butterfly Network Inc Wt,106.BFLY_WS,106
MSN,US,Emerson Radio Corp,107.MSN,107
AIFU,US,智能未来,105.AIFU,105
BANL,US,CBL International Ltd,105.BANL,105
AREB,US,American Rebel Holdings Inc,105.AREB,105
PL_WS,US,Planet Labs PBC Wt,106.PL_WS,106
SQFT,US,Presidio Property Trust Inc-A,105.SQFT,105
DRD,US,DRDGOLD Ltd ADR,106.DRD,106
HYLN,US,Hyliion Holdings Corp,107.HYLN,107
AGFY,US,Agrify Corp,105.AGFY,105
KYMR,US,Kymera Therapeutics Inc,105.KYMR,105
NMG,US,Nouveau Monde Graphite Inc,106.NMG,106
ALTS,US,ALT5 Sigma Corp,105.ALTS,105
AXL,US,美国车桥,106.AXL,106
GENI,US,Genius Sports Ltd,106.GENI,106
AGX,US,Argan Inc,106.AGX,106
ARQQ,US,Arqit Quantum Inc,105.ARQQ,105
SUPV,US,Grupo Supervielle SA ADR,106.SUPV,106
FRGT,US,Freight Technologies Inc,105.FRGT,105
FSM,US,Fortuna Mining Corp,106.FSM,106
PSNYW,US,极星汽车(权证),105.PSNYW,105
JYD,US,佳裕达,105.JYD,105
TUYA,US,涂鸦智能,106.TUYA,106
IPI,US,Intrepid Potash Inc,106.IPI,106
SVM,US,希尔威金属矿业,107.SVM,107
TGTX,US,TG Therapeutics Inc,105.TGTX,105
ADN,US,Advent Technologies Holdings In,105.ADN,105
VTAK,US,Catheter Precision Inc,107.VTAK,107
EZGO,US,易电行,105.EZGO,105
KLXE,US,KLX Energy Services Holdings In,105.KLXE,105
